city,lon,lat
Петергоф,29.54,59.53
Янино-1,30.33,59.56
Металлострой,30.34,59.48
Кронштадт,29.46,60.00
Ломоносов,29.46,59.55
Новое Девяткино,30.28,60.03
Сестрорецк,29.58,60.06
Красное Село,30.05,59.44
Парголово,30.15,60.05
Пушкин,30.25,59.43
Колпино,30.36,59.45
Шушары,30.24,59.483000000000004
Санкт-Петербург,30.19,59.57
Абрамова Гора,34.733,59.666000000000004
Алешины Нивы,34.650,59.716
Амосова Гора,34.883,59.883
Анисимово,34.233,59.316
Астрачи,33.650,59.61600000000001
Баламутово,34.500,59.566
Батьково,33.950,59.55
Белый Бор,33.850,59.733000000000004
Белячиха,34.950,59.8
Бережок,34.750,59.283
Бирючево,34.583,59.2
Боброзеро,34.916,59.8
Бокситогорск,33.850,59.466
Большой Остров,33.783,59.466
Бор 1,33.800,59.466
Бор 2,35.133,59.783
Борисово,34.166,59.666000000000004
Борисовщина,34.766,59.733000000000004
Борки,33.816,59.65
Бороватое,33.766,59.45
Бочатино,34.200,59.266000000000005
Бурково,33.666,59.633
Ванино,33.916,59.783
Василево,33.950,59.666000000000004
Васьково,35.660,59.45
Великий Двор,33.983,59.666000000000004
Великое Село,34.816,59.483000000000004
Велье,34.400,59.5
Веретье,33.833,59.633
Володино,34.333,59.633
Вороньи Горки,34.766,59.216
Гагрино,34.830,59.183
Галично,33.750,59.6
Глядково,34.233,59.3
Головково,34.233,59.216
Горелуха,33.816,59.6
Горка 1,34.416,59.583
Горка 2,33.933,59.533
Городок,34.733,59.2
Горушка,33.850,59.65
Гостихино,33.683,59.36600000000001
Григоркино,34.350,59.583
Гришкино,35.166,59.466
Дерева,34.200,59.65
Дорогощи,34.000,59.3
Дороховая,33.866,59.36600000000001
Дубняги,33.983,59.516000000000005
Дуброва,34.233,59.483000000000004
Дубровка,34.533,59.183
Дудинское,34.660,59.183
Дыми,33.783,59.583
Дятелка,34.700,59.216
Елзово,34.233,59.283
Ефимовский,34.700,59.5
Жилоток,33.666,59.483000000000004
Журавлево,34.716,59.35
Забелино,34.533,59.2
Заборье,35.233,59.516000000000005
Заголодно,34.650,59.45
Замошье,34.283,59.45
Заречье,34.330,59.566
Заручевье,34.150,59.55
Захожи,34.300,59.533
Золотово,33.783,59.35
Зубакино,34.000,59.3
Ивановское,35.416,59.666000000000004
Ивахново,35.433,59.7
Известковая,33.950,59.533
Казенное Село,34.316,59.633
Калинецкое,34.150,59.233000000000004
Карповская,34.283,59.583
Климово 1,34.700,59.2
Кожаково,34.816,59.4
Койгуши,34.716,59.7
Колбеки,33.783,59.383
Коли,34.500,59.5
Корвала,35.160,60.83
Коргорка,34.550,59.2
Коробище,35.466,59.683
Коростелево,34.683,59.216
Косково,34.366,59.6
Косой Ухаб,35.550,59.683
Костерино,35.366,59.633
Косые Харчевни,34.600,59.466
Красная Новь,34.316,59.61600000000001
Красная Речка,34.716,59.4
Красноборский,35.200,59.95
Красный Бор,35.216,59.966
